GameId,ClubID,Goals
2240260,2425,0
2240241,720,3
2224190,1421,0
2242843,897,1
2224186,1095,1
2224189,618,1
2224185,273,0
2224183,1159,2
2224182,969,0
2224178,417,2
2224177,14171,1
2224176,583,3
2224180,1041,1
2224118,40,0
2224117,415,2
2224116,1423,0
2224115,595,2
2224113,244,0
2242869,142,0
2224184,750,0
2240248,2420,0
2224187,3911,1
2224126,583,1
2224179,1147,1
2240259,2425,1
2240243,1465,1
2224120,1095,1
2224188,1082,0
2242881,1049,0
2224108,969,1
2224123,415,1
2224125,1421,0
2224130,1423,1
2224112,750,2
2224181,1158,0
2224124,1159,2
2224121,1082,2
2224132,1147,1
2224140,1041,3
2224133,417,3
2224128,3911,1
2244378,681,1
2224131,1158,0
2224139,1095,1
2224145,583,1
2224147,969,1
2224142,415,0
2224127,14171,0
2224137,618,1
2224129,40,0
2224122,618,1
2224135,750,3
2224161,1147,2
2224144,1095,2
2224150,417,0
2224158,40,2
2224152,14171,1
2224149,1158,1
2224143,1423,1
2224148,1082,2
2224154,3911,0
2224134,595,1
2224138,273,2
2224155,415,1
2224162,750,0
2224166,595,1
2224165,969,2
2224159,273,2
2224157,1159,1
2224153,1421,2
2224164,244,0
2224151,618,0
2224169,1158,0
2224172,1041,0
2224171,14171,0
2224175,1095,0
2224173,3911,0
2224168,1423,1
2224167,1147,0
2224163,417,4
2224170,583,2
2224174,40,0
2224064,750,2
2224065,1082,2
2224146,244,1
2224067,244,1
2224068,415,3
2224160,583,1
2224066,595,4
2224062,1159,2
2224114,273,1
2224061,969,0
2224077,583,2
2224069,40,0
2224156,1041,2
2224081,1423,1
2224080,417,0
2224072,1421,2
2224076,1095,1
2224070,273,0
2224074,1041,1
2224071,1147,0
2224075,618,2
2224084,595,0
2224086,969,0
2224096,750,1
2224085,244,0
2224079,14171,2
2224090,1421,2
2224083,1082,3
2224119,417,0
2224088,1159,1
2224082,618,2
2224092,1095,1
2224094,1041,1
2224100,417,0
2224099,1159,2
2224098,1423,1
2224091,1147,0
2224089,14171,0
2224093,583,0
2224097,273,0
2224078,415,1
2224101,244,0
2224104,1158,1
2224110,1082,3
2224109,969,1
2224111,3911,2
2224106,595,0
2224105,618,3
2224103,750,2
2224107,1421,0
2224056,583,2
2224048,618,1
2224051,1041,4
2224136,1421,0
2224058,14171,1
2224063,1158,1
2224095,40,1
2224055,1159,0
2224073,3911,0
2224050,273,0
2224054,1147,1
2224141,1159,0
2224049,1095,2
2224053,1423,0
2224046,750,0
2224040,1082,3
2224043,1421,2
2224041,1158,1
2224044,969,1
2224087,1158,0
2224052,417,1
2224039,1421,1
2224025,1041,1
2224037,1423,0
2224060,415,0
2224042,244,1
2224033,14171,0
2224030,417,2
2224034,273,2
2224047,583,4
2224032,1082,0
2224028,40,1
2224045,40,0
2224038,1159,1
2224031,750,0
2224057,3911,1
2224019,415,1
2224017,3911,1
2224027,244,2
2224029,1147,1
2224020,1158,1
2224059,595,1
2224036,1095,1
2224021,1041,2
2224012,583,1
2224014,1423,1
2224008,1095,2
2224026,969,2
2224009,1421,0
2224010,417,2
2224022,14171,0
2224024,273,2
2224011,595,2
2224015,40,2
2224004,1082,2
2224002,1158,0
2224001,3911,2
2224006,1041,2
2224102,415,0
2224007,415,2
2223998,618,0
2223993,750,0
2224005,14171,1
2224000,1421,2
2223999,1095,0
2223995,417,0
2223994,1159,2
2223991,273,4
2223997,969,1
2224023,1159,1
2224018,618,1
2224016,595,0
2223987,40,1
2224035,618,2
2223989,1147,2
2223897,595,0
2223896,14171,2
2223895,3911,2
2223893,1082,1
2223891,1423,0
2223979,618,0
2223986,244,2
2223988,1159,1
2223892,244,1
2223983,969,2
2223980,1095,0
2223972,1421,0
2223894,1041,0
2223982,415,0
2223981,750,0
2223966,1041,1
2223974,1158,3
2223977,40,0
2223990,583,4
2223971,1423,1
2223970,417,1
2223969,1082,1
2223968,1147,0
2223992,583,3
2223976,595,0
2224013,1147,0
2223958,415,0
2223962,244,2
2223975,14171,0
2223967,583,1
2223996,244,1
2224003,1423,0
2223960,750,2
2223964,969,0
2223957,618,0
2223951,1082,0
2223956,1041,0
2223952,40,0
2223985,1158,2
2223965,595,0
2223953,14171,1
2223949,417,1
2223947,1147,1
2223954,1095,0
2223963,273,3
2223973,1421,0
2223946,415,0
2223941,1421,0
2223984,273,0
2223944,595,0
2223943,1159,3
2223940,618,2
2223961,1159,1
2223945,273,2
2223942,244,0
2223935,583,1
2223955,1158,1
2223930,1041,1
2223933,417,2
2223937,14171,2
2223938,750,1
2223932,1423,3
2223929,1095,0
2223934,3911,0
2223925,273,3
2223915,415,0
2223913,595,2
2223919,244,2
2223931,40,4
2223927,750,1
2223918,1082,2
2223914,969,1
2223911,1421,0
2223948,1423,0
2223912,1158,0
2223923,1041,4
2223978,3911,2
2223921,40,1
2223928,14171,1
2223924,417,1
2223922,1095,1
2223920,3911,1
2223939,1082,0
2223899,583,1
2223926,1423,1
2223900,273,0
2223908,244,0
2223959,3911,0
2223909,595,0
2223906,415,4
2223904,618,1
2223907,3911,0
2223901,1158,1
2223903,1421,0
2223905,1082,1
2223858,583,2
2223864,1041,1
2223875,40,1
2223898,1147,4
2223863,1095,2
2223859,1147,0
2223874,417,1
2223873,1423,2
2223856,14171,3
2223862,1159,0
2223867,40,2
2223870,1421,0
2223861,244,1
2223860,273,1
2223868,969,2
2223865,595,2
2223842,3911,0
2223872,1158,1
2223869,750,0
2223866,1082,0
2223845,1041,1
2223849,14171,0
2223910,750,1
2223851,1147,2
2223848,417,1
2223846,273,2
2223843,1159,0
2223917,1159,1
2223902,969,1
2223844,618,1
2223916,618,2
2223876,244,1
2223847,583,4
2223854,1147,0
2223936,1147,4
2223850,1095,1
2223852,40,0
2223881,3911,2
2223883,1082,1
2223950,969,1
2223853,415,0
2223880,750,1
2223857,1158,2
2223887,14171,0
2223882,595,0
2223890,583,2
2223885,273,1
2223879,1095,1
2223878,618,3
2223886,969,3
2223889,1423,2
2223871,415,2
2229863,40,0
2229859,3911,0
2229860,415,1
2229857,750,0
2223855,969,1
2229855,1158,2
