GameId,CompetitionID
2225451,GB1
2225450,GB1
2225448,GB1
2225447,GB1
2225494,GB1
2225444,GB1
2230144,GB1
2230145,GB1
2230148,GB1
2230141,GB1
2230149,GB1
2230147,GB1
2230146,GB1
2230143,GB1
2230142,GB1
2230140,GB1
2245306,CGB
2245308,CGB
2245310,CGB
2245312,CGB
2245316,CGB
2225486,GB1
2225443,GB1
2245305,CGB
2225446,GB1
2245318,CGB
2245288,CGB
2245290,CGB
2225482,GB1
2245302,CGB
2245300,CGB
2245294,CGB
2225445,GB1
2245313,CGB
2245307,CGB
2245304,CGB
2245293,CGB
2245291,CGB
2245297,CGB
2245314,CGB
2245299,CGB
2245301,CGB
2245320,CGB
2245292,CGB
2256475,CGB
2225449,GB1
2256476,CGB
2256464,CGB
2245295,CGB
2256462,CGB
2256479,CGB
2256477,CGB
2225452,GB1
2256468,CGB
2256472,CGB
2256474,CGB
2256459,CGB
2256461,CGB
2256478,CGB
2245303,CGB
2256480,CGB
2256465,CGB
2245322,CGB
2256469,CGB
2256471,CGB
2256470,CGB
2245289,CGB
2245296,CGB
2256458,CGB
2256460,CGB
2262324,CGB
2256473,CGB
2262314,CGB
2262318,CGB
2256456,CGB
2262315,CGB
2262317,CGB
2262323,CGB
2262310,CGB
2262312,CGB
2262316,CGB
2262320,CGB
2262322,CGB
2262311,CGB
2262313,CGB
2256463,CGB
2262309,CGB
2267262,CGB
2267266,CGB
2267260,CGB
2267264,CGB
2267259,CGB
2267261,CGB
2270925,CGB
2270922,CGB
2270923,CGB
2270924,CGB
2284500,CGB
2284499,CGB
2284502,CGB
2284501,CGB
2288121,CGB
2256457,CGB
2267265,CGB
2242967,ES1
2242966,ES1
2242965,ES1
2242962,ES1
2267263,CGB
2242960,ES1
2242959,ES1
2242970,ES1
2242974,ES1
2242992,ES1
2242958,ES1
2256466,CGB
2242975,ES1
2242980,ES1
2242987,ES1
2242976,ES1
2242977,ES1
2242993,ES1
2256467,CGB
2242986,ES1
2243002,ES1
2243003,ES1
2242984,ES1
2262321,CGB
2242991,ES1
2242961,ES1
2262319,CGB
2242994,ES1
2242973,ES1
2242936,ES1
