PlayerId,PlayerName,Citizenship,Date_of_birth,Position,Foot,Height_in_cm,Highest_market_value_in_gbp
79285,Zacharias Kavousakis,Greece,1989-01-11,Goalkeeper,Left,185,360000
444849,Giannis Tsiolis,Greece,1998-06-04,Attack,,171,45000
124662,Vitaliy Gayduchik,Belarus,1989-07-12,Defender,Right,184,720000
342787,Ilias Evangelou,Greece,1997-05-18,Defender,Left,183,158000
462784,Jourdain Assen,Cameroon,1997-11-16,Defender,Right,185,45000
78496,Tomas Kosicky,Slovakia,1986-03-11,Goalkeeper,Right,197,720000
67544,Dani Nieto,Spain,1991-05-04,Attack,Left,174,900000
75441,Marcos Pizzelli,Armenia,1984-10-03,Attack,Left,175,2700000
45812,Djordje Lazic,Serbia,1983-06-18,Midfield,Both,181,1350000
459818,Pavlos Zotos,Greece,1997-02-17,Defender,,0,
328965,Aristotelis Kollaras,Greece,1995-12-31,Defender,Left,180,158000
355749,Manolis Demenikos,Greece,1996-09-22,Goalkeeper,Right,187,68000
25719,Fanouris Goundoulakis,Greece,1983-07-13,Midfield,Right,181,900000
334046,Sonhy Sefil,Martinique,1994-06-16,Defender,Right,194,450000
58152,Athanasios Tsourakis,Greece,1990-05-12,Attack,Both,168,270000
324360,Angelos Zisis,Greece,1998-02-24,Defender,Right,184,45000
242653,Spyros Papaspyros,Greece,1996-01-23,Midfield,Right,182,90000
268590,Eloge Yao,Cote d'Ivoire,1996-01-20,Defender,Right,184,1620000
62247,Emmanuel Ledesma,Argentina,1988-05-24,Attack,Left,180,675000
242673,Aristomenis Tzitzikalakis,Greece,1996-05-21,Defender,Right,180,45000
402647,Theodoros Lampiris,Greece,1997-04-13,Goalkeeper,Right,188,68000
89480,Dimitrios Ferfelis,Greece,1993-04-05,Attack,Right,194,180000
138199,Christopher Maboulou,Congo,1990-03-19,Attack,Right,185,900000
92141,Victor Ibarbo,Colombia,1990-05-19,Attack,Right,188,7650000
302478,Davide Arras,Italy,1998-04-02,Attack,Right,176,180000
189157,Vasilios Papadopoulos,Greece,1995-01-28,Attack,Right,178,180000
45865,Oscar Cardozo,Paraguay,1983-05-20,Attack,Left,193,15750000
208905,Stefan Silva,Sweden,1990-03-11,Attack,Right,181,450000
283602,Lautaro Rinaldi,Argentina,1993-12-30,Attack,Right,180,1440000
